,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Garage,Basement,Year Remod/Add_bis,Renovated before sale,Lot Area**0.5,Lot Area**2,Lot Area**3,Garage Area**0.5,Garage Area**2,Garage Area**3,Year Remod/Add**0.5,Year Remod/Add**2,Year Remod/Add**3
0,484,528275070,60,RL,68.0,8795,No,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,7,1.791759469228055,3.091042453358316,2000,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,GLQ,5.707110264748875,Unf,6.481577129276431,952.0,5,Y,SBrkr,6.8885724595653635,7.152268856032539,0,7.721791776817535,0.0,2,0.6931471805599453,1.6094379124341003,4,2.1972245773362196,Typ,0.6931471805599453,BuiltIn,3.091042453358316,Fin,2.0,554.0,Y,5.41610040220442,4.007333185232471,0.0,0,No,0,4,2009,WD ,Normal,12.371591321286905,Yes,Yes,0.0,No,93.78166132032425,77352025,680311059875,23.53720459187964,306916.0,170031464.0,44.721359549995796,4000000,8000000000
1,2586,535305120,20,RL,75.0,10170,No,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,1.9459101490553132,4.2626798770413155,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,6.259581464064923,3,3,CBlock,3,0.6931471805599453,Unf,0.0,Unf,5.37989735354046,216.0,3,Y,SBrkr,7.362645270417825,0.0,0,7.362645270417825,0.0,1,0.6931471805599453,1.0986122886681098,4,1.791759469228055,Typ,0.6931471805599453,Attchd,4.2626798770413155,Unf,2.0,400.0,Y,0.0,0.0,0.0,0,No,0,6,2006,WD ,Normal,11.951186847493476,Yes,Yes,0.0,No,100.84641788382967,103428900,1051871913000,20.0,160000.0,64000000.0,44.170125650715555,3806401,7426288351
2,2289,923228250,160,RM,21.0,2001,No,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Twnhs,2Story,4,1.791759469228055,3.9512437185814275,1970,Gable,CemntBd,CmentBd,BrkFace,4.394449154672439,3,3,CBlock,3,0.6931471805599453,Unf,0.0,Unf,6.304448802421981,546.0,2,Y,SBrkr,6.304448802421981,6.304448802421981,0,6.996681488176539,0.0,1,0.6931471805599453,1.3862943611198906,3,1.9459101490553132,Typ,0.0,Attchd,3.9512437185814275,Unf,1.0,286.0,Y,0.0,0.0,0.0,0,No,0,1,2007,WD ,Normal,11.225256725762893,Yes,Yes,0.0,No,44.73253849269008,4004001,8012006001,16.911534525287763,81796.0,23393656.0,44.384682042344295,3880900,7645373000
3,142,535152150,20,RL,70.0,10552,No,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,1.791759469228055,4.143134726391533,1959,Hip,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,0.6931471805599453,Rec,6.926577033222725,Unf,5.942799375126701,1398.0,4,Y,SBrkr,7.438971592395862,0.0,0,7.438971592395862,0.0,1,0.6931471805599453,1.6094379124341003,4,1.9459101490553132,Typ,0.6931471805599453,Attchd,4.143134726391533,RFn,2.0,447.0,Y,0.0,3.6635616461296463,0.0,0,No,0,4,2010,WD ,Normal,12.016732516077072,Yes,Yes,0.0,No,102.72292830717006,111344704,1174909316608,21.142374511865974,199809.0,89314623.0,44.26059195266146,3837681,7518017079
4,2042,903475060,190,RM,60.0,10120,No,IR1,Bnk,Inside,Gtl,OldTown,Feedr,2fmCon,2.5Unf,7,1.6094379124341003,4.718498871295094,1950,Hip,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,3,0.6931471805599453,Unf,0.0,Unf,6.8308742346461795,925.0,3,N,FuseF,6.872128101338986,6.8308742346461795,0,7.5443321080536885,0.0,1,0.6931471805599453,1.6094379124341003,3,2.302585092994046,Typ,0.6931471805599453,Detchd,4.127134385045092,Unf,1.0,308.0,N,0.0,0.0,5.579729825986222,0,Yes,0,1,2007,WD ,Normal,11.711784520403112,Yes,Yes,3.713572066704308,No,100.59821071967433,102414400,1036433728000,17.549928774784245,94864.0,29218112.0,44.15880433163923,3802500,7414875000
5,1256,535375160,50,RL,45.0,7506,No,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,1.5Fin,5,2.1972245773362196,4.574710978503383,1950,Gable,VinylSd,VinylSd,None,0.0,3,4,PConc,3,0.6931471805599453,Unf,0.0,Unf,6.617402977974478,747.0,3,Y,SBrkr,6.617402977974478,6.023447592961033,0,7.05617528410041,0.0,1,0.0,1.3862943611198906,3,1.791759469228055,Typ,0.0,Detchd,4.499809670330265,Unf,1.0,288.0,N,4.442651256490317,0.0,4.574710978503383,0,No,0,5,2008,WD ,Normal,11.643962499267984,Yes,Yes,3.258096538021482,No,86.6371744691619,56340036,422888310216,16.97056274847714,82944.0,23887872.0,44.15880433163923,3802500,7414875000
6,2637,902100130,70,RM,57.0,9906,Yes,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,4,1.6094379124341003,4.574710978503383,1950,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,0.6931471805599453,Unf,0.0,Unf,6.532334292222349,686.0,2,N,SBrkr,6.698268054115413,6.251903883165888,0,7.192182058713246,0.0,1,0.0,1.3862943611198906,3,2.1972245773362196,Typ,0.0,Detchd,4.406719247264253,Unf,1.0,210.0,Y,0.0,5.153291594497779,4.110873864173311,0,No,0,9,2006,WD ,Family,11.580593459194764,Yes,Yes,3.258096538021482,No,99.52889027814989,98128836,972064249416,14.491376746189438,44100.0,9261000.0,44.15880433163923,3802500,7414875000
8,2320,527108040,60,RL,72.0,10463,No,IR1,HLS,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,8,1.791759469228055,2.833213344056216,2005,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,6.795705775173514,893.0,5,Y,SBrkr,6.804614520062624,6.803505257608338,0,7.496652438168283,0.0,2,0.6931471805599453,1.3862943611198906,4,2.1972245773362196,Typ,0.6931471805599453,Attchd,2.833213344056216,Fin,3.0,800.0,Y,0.0,4.762173934797756,0.0,0,No,0,6,2006,WD ,Normal,12.3879816172226,Yes,Yes,0.0,Yes,102.28880681677737,109474369,1145430322847,28.284271247461902,640000.0,512000000.0,44.77722635447622,4020025,8060150125
9,1149,531452140,120,RL,55.0,7892,No,Reg,Lvl,Inside,Gtl,SawyerW,Norm,TwnhsE,1Story,6,1.791759469228055,3.367295829986474,1993,Gable,Plywood,Plywood,None,0.0,4,3,PConc,4,0.6931471805599453,GLQ,5.707110264748875,Unf,6.802394763324311,1199.0,5,Y,SBrkr,7.090076835776092,0.0,0,7.090076835776092,0.0,2,0.0,1.0986122886681098,4,1.791759469228055,Typ,0.0,Attchd,3.367295829986474,RFn,2.0,530.0,Y,0.0,4.1588830833596715,0.0,0,No,0,3,2008,WD ,Normal,11.944064817531656,Yes,Yes,0.0,No,88.83692925805124,62283664,491542676288,23.021728866442675,280900.0,148877000.0,44.64302857109943,3972049,7916293657
10,1161,533208080,160,FV,35.0,4017,Yes,IR1,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,7,1.791759469228055,2.772588722239781,2007,Gable,MetalSd,MetalSd,None,0.0,4,3,PConc,4,0.6931471805599453,Unf,0.0,Unf,6.439350371100098,625.0,5,Y,SBrkr,6.439350371100098,6.439350371100098,0,7.1316985104669115,0.0,2,0.6931471805599453,1.0986122886681098,4,1.791759469228055,Typ,0.0,Detchd,2.772588722239781,Fin,2.0,625.0,Y,0.0,4.007333185232471,0.0,0,No,0,3,2008,WD ,Normal,12.05467400868968,Yes,Yes,0.6931471805599453,Yes,63.3798075099633,16136289,64819472913,25.0,390625.0,244140625.0,44.799553569204235,4028049,8084294343
